employee_id,name,gender,city,province,latitude,longitude,department,job_title,hire_date,birth_date,termination_date,education_level,salary,performance_rating,overtime
SUF0001,"Nugraha Kusumo, S.I.Kom",Female,Surabaya,Jawa Timur,-7.2575,112.7521,Sales & Marketing,Sales Representative,2015-04-16,2001-11-20,,SMA/SMK,6070417,Good,No
SUM0001,"T. Lamar Wacana, M.Pd",Male,Surabaya,Jawa Timur,-7.2575,112.7521,Operations,Logistics Specialist,2021-11-12,1993-10-28,,Diploma,11065810,Good,No
SUM0002,Ulva Mahendra,Male,Surabaya,Jawa Timur,-7.2575,112.7521,HR,Payroll,2016-08-03,1978-05-16,,Diploma,6255539,Good,No
JAF0001,"Hj. Zahra Widodo, S.Sos",Female,Jakarta,DKI Jakarta,-6.2088,106.8456,Business Development,Project Coordinator,2020-10-30,1999-06-06,,Sarjana (S1),10198164,Satisfactory,No
JAF0002,Nadine Halimah,Female,Jakarta,DKI Jakarta,-6.2088,106.8456,Sales & Marketing,Sales Executive,2018-07-08,1996-02-12,,SMA/SMK,6408113,Satisfactory,No
SUM0003,Caket Rahayu,Male,Surabaya,Jawa Timur,-7.2575,112.7521,Sales & Marketing,Sales Representative,2020-04-06,1985-11-03,,SMA/SMK,6422673,Excellent,No
SUM0004,Lurhur Hardiansyah,Male,Surabaya,Jawa Timur,-7.2575,112.7521,Finance,Accountant,2016-09-13,1968-12-31,,Diploma,9861810,Good,Yes
SEM0001,"Ophelia Permadi, S.H.",Male,Semarang,Jawa Tengah,-6.9667,110.4167,Customer Service,Customer Care Representative,2017-02-26,1975-03-16,,SMA/SMK,6368494,Good,No
BOM0001,Dagel Sirait,Male,Bogor,Jawa Barat,-6.595,106.8167,Operations,Logistics Specialist,2019-12-14,1970-09-08,,Sarjana (S1),9317816,Good,No
MAF0001,"Hj. Nova Utami, M.Ak",Female,Malang,Jawa Timur,-7.9819,112.6265,HR,HR Assistant,2021-02-18,2000-08-03,,SMA/SMK,5000000,Good,No
BAF0001,Kiandra Pradana,Female,Bangkalan,Jawa Timur,-7.0439,112.9091,Sales & Marketing,Marketing Coordinator,2018-02-13,1981-07-15,,Sarjana (S1),10852816,Excellent,Yes
SUM0005,"R. Caraka Mahendra, S.Pt",Male,Surabaya,Jawa Timur,-7.2575,112.7521,Finance,Finance Assistant,2019-09-30,1996-07-19,,Diploma,7171102,Satisfactory,No
SUF0002,"Ir. Edward Natsir, S.Kom",Female,Surabaya,Jawa Timur,-7.2575,112.7521,Operations,Operations Coordinator,2023-03-16,1994-08-21,,Diploma,9942487,Excellent,Yes
SUM0006,Waluyo Januar,Male,Surabaya,Jawa Timur,-7.2575,112.7521,Operations,Logistics Specialist,2022-03-06,2003-09-13,,Diploma,9419323,Good,No
BEM0001,R. Clara Widiastuti,Male,Bekasi,Jawa Barat,-6.2383,106.9756,Operations,Logistics Specialist,2021-11-09,1999-01-23,,Sarjana (S1),10686256,Satisfactory,No
BAF0002,"Prayitna Mardhiyah, S.H.",Female,Bangkalan,Jawa Timur,-7.0439,112.9091,IT,Technical Support,2015-10-19,1997-06-22,2018-08-29,Diploma,6657548,Needs Improvement,Yes
JAF0003,"Iriana Hutasoit, M.M.",Female,Jakarta,DKI Jakarta,-6.2088,106.8456,Operations,Operations Coordinator,2024-07-18,1988-11-22,,Diploma,7074145,Satisfactory,No
BEM0002,Diah Megantara,Male,Bekasi,Jawa Barat,-6.2383,106.9756,Sales & Marketing,Sales Executive,2019-09-14,1976-02-14,,Diploma,6091459,Good,No
TAF0001,Edi Anggraini,Female,Tangerang,Banten,-6.1702,106.6319,Operations,Operations Coordinator,2019-05-12,2000-11-22,,Diploma,9260672,Needs Improvement,Yes
SUF0003,"Sutan Opung Yuniar, M.Kom.",Female,Surabaya,Jawa Timur,-7.2575,112.7521,Customer Service,Customer Care Representative,2019-10-19,1980-01-30,,SMA/SMK,5240632,Satisfactory,No
SUF0004,"R. Edi Prasetya, S.Gz",Female,Surabaya,Jawa Timur,-7.2575,112.7521,HR,HR Assistant,2016-10-18,1995-01-18,,SMA/SMK,5422967,Needs Improvement,No
MAF0002,"Rika Salahudin, S.Psi",Female,Malang,Jawa Timur,-7.9819,112.6265,Business Development,Business Analyst,2024-09-21,1996-06-04,,Magister (S2),13154796,Good,Yes
SUM0007,"Fathonah Yuniar, M.Pd",Male,Surabaya,Jawa Timur,-7.2575,112.7521,Operations,Operations Coordinator,2014-12-23,1982-09-09,,Diploma,11373509,Good,Yes
JAF0004,KH. Catur Ramadan,Female,Jakarta,DKI Jakarta,-6.2088,106.8456,Business Development,Project Coordinator,2017-10-11,1974-06-18,,Sarjana (S1),10462087,Satisfactory,No
MAM0001,Zamira Anggraini,Male,Malang,Jawa Timur,-7.9819,112.6265,Operations,Operations Coordinator,2022-10-18,2003-01-18,,Diploma,7955110,Excellent,Yes
SUF0005,Drs. Titi Nuraini,Female,Surabaya,Jawa Timur,-7.2575,112.7521,Customer Service,Customer Care Representative,2016-09-22,1992-06-04,,SMA/SMK,5834772,Satisfactory,Yes
SUF0006,Rafid Nuraini,Female,Surabaya,Jawa Timur,-7.2575,112.7521,Customer Service,Support Specialist,2019-02-28,1991-11-10,,Diploma,5289075,Good,No
BEM0003,"Prima Agustina, S.T.",Male,Bekasi,Jawa Barat,-6.2383,106.9756,Finance,Finance Assistant,2016-08-08,1991-05-09,,Diploma,8602772,Good,No
SUF0007,Chelsea Mulyani,Female,Surabaya,Jawa Timur,-7.2575,112.7521,Operations,Logistics Specialist,2021-07-10,1996-07-17,,Sarjana (S1),11334889,Good,No
TAM0001,Caket Nainggolan,Male,Tangerang,Banten,-6.1702,106.6319,Operations,Operations Coordinator,2016-11-29,1996-12-23,,Diploma,9535591,Satisfactory,No
BOM0002,Kayun Usamah,Male,Bogor,Jawa Barat,-6.595,106.8167,Operations,Operations Coordinator,2023-02-12,1983-03-31,,Diploma,9016864,Good,No
MAF0003,Farah Napitupulu,Female,Malang,Jawa Timur,-7.9819,112.6265,Sales & Marketing,Sales Representative,2016-08-06,1975-12-29,2025-07-31,SMA/SMK,7422487,Good,Yes
JAF0005,Karen Putra,Female,Jakarta,DKI Jakarta,-6.2088,106.8456,Customer Service,Support Specialist,2023-11-19,1983-08-27,,SMA/SMK,5000000,Excellent,Yes
SUM0008,Novi Puspita,Male,Surabaya,Jawa Timur,-7.2575,112.7521,Customer Service,Customer Care Representative,2020-12-09,2001-07-24,,SMA/SMK,5000000,Good,No
JAM0001,Amelia Usada,Male,Jakarta,DKI Jakarta,-6.2088,106.8456,Sales & Marketing,Marketing Coordinator,2020-04-18,1982-10-08,,Sarjana (S1),10350223,Good,No
SUM0009,Jinawi Setiawan,Male,Surabaya,Jawa Timur,-7.2575,112.7521,Customer Service,Support Specialist,2017-07-14,1971-06-30,,Diploma,5811109,Good,No
SUF0008,"R.A. Vera Hardiansyah, S.H.",Female,Surabaya,Jawa Timur,-7.2575,112.7521,Customer Service,Customer Care Representative,2018-01-24,1991-04-19,,SMA/SMK,7041913,Good,No
JAM0002,Aslijan Sitompul,Male,Jakarta,DKI Jakarta,-6.2088,106.8456,Operations,Logistics Specialist,2017-11-03,1989-06-29,,Diploma,13829571,Good,No
SUM0010,Zulaikha Mardhiyah,Male,Surabaya,Jawa Timur,-7.2575,112.7521,Sales & Marketing,Marketing Coordinator,2018-11-28,1979-06-02,,Sarjana (S1),9626639,Good,Yes
MAF0004,Tgk. Carla Prastuti,Female,Malang,Jawa Timur,-7.9819,112.6265,IT,Software Developer,2017-08-12,1977-03-06,,Diploma,14095881,Good,Yes
BEM0004,Hj. Tina Wijaya,Male,Bekasi,Jawa Barat,-6.2383,106.9756,Finance,Accountant,2024-04-01,1998-08-08,,Sarjana (S1),9340421,Good,No
UBM0001,Cut Raina Suryono,Male,Ubud,Bali,-8.519,115.263,Business Development,Business Analyst,2023-01-21,1969-09-02,2032-03-19,Sarjana (S1),14794106,Good,No
TAF0002,"Dodo Prasasta, M.M.",Female,Tangerang,Banten,-6.1702,106.6319,Operations,Operations Coordinator,2020-09-01,1978-03-26,,Diploma,10061589,Good,No
BAF0003,Bahuraksa Saragih,Female,Bangkalan,Jawa Timur,-7.0439,112.9091,Sales & Marketing,Sales Executive,2019-04-17,1994-09-08,,Diploma,6089129,Satisfactory,No
BOM0003,Rahman Hutapea,Male,Bogor,Jawa Barat,-6.595,106.8167,IT,Software Developer,2016-12-24,1983-03-13,,Diploma,12688928,Satisfactory,No
JAM0003,Puti Firmansyah,Male,Jakarta,DKI Jakarta,-6.2088,106.8456,Customer Service,Support Specialist,2018-06-25,1987-08-04,,Diploma,5275408,Needs Improvement,No
TAF0003,"Dr. Maria Pratama, S.IP",Female,Tangerang,Banten,-6.1702,106.6319,Sales & Marketing,Sales Executive,2017-06-09,1992-05-26,,SMA/SMK,6566138,Good,No
SUM0011,Winda Fujiati,Male,Surakarta,Jawa Tengah,-7.556,110.8317,Operations,Logistics Specialist,2021-02-27,1992-11-27,,Diploma,10057649,Good,No
SUF0009,H. Usman Nurdiyanti,Female,Surabaya,Jawa Timur,-7.2575,112.7521,IT,Network Engineer,2023-08-21,1970-05-07,,Sarjana (S1),8932931,Good,No
